"COLONY","PlantID","Sex_t","Sever","Time","Lf_t","ST.BOR.t","DMG.t","Total_nodes","SexF_t1","brnoF_t1","SexB_t1","brnoB_t1","LfFtot_t1","LfBtot_t1","Lftot_t1","SexF_t2","brnoF_t2","SexB_t2","brnoB_t2","LftotF_t2","LftotB_t2","Lftot_t2"
28,526,"V","S4","T3","522.4455","N","N",11,"S",1,NA,"0",794.562,0,794.562,"S",1,"V",1,NA,107.90575,NA
28,527,"S","C","T3","436.242","N","N",11,"V",1,NA,"0",NA,0,NA,"V",1,"NAN",0,400.4425,0,400.4425
28,528,"V","C","T3","300.376","N","N",11,"V",1,NA,"0",408.556,0,408.556,"V",1,"NAN",0,457.254,0,457.254
29,529,"S","S1","T2","488.541","Y","N",7,NA,0,"S","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,530,"V","S1","T2","314.8","N","N",6,NA,0,"V","1",0,486.085,486.085,NA,NA,NA,NA,NA,NA,NA
29,531,"S","S2","T2","734.943","N","N",5,NA,0,"V","1",0,272.129,272.129,NA,NA,NA,NA,NA,NA,NA
29,532,"V","S2","T2","486.085","N","Y",5,NA,0,NA,"0",0,0,0,NA,NA,NA,NA,NA,NA,NA
29,533,"S","S4","T2","578.046","N","Y",8,NA,0,"V","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,534,"V","S4","T2","392.17875","Y","N",9,"V",2,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
29,535,"S","C","T2","299.5275","Y","N",6,"S",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
29,536,"V","C","T2","424.783","N","N",7,"V",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
29,537,"S","S1","T1","251.616","N","N",11,NA,0,NA,"0",0,0,0,NA,NA,NA,NA,NA,NA,NA
29,538,"V","S1","T1","307.588","N","N",7,"S",1,"V","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,539,"S","S2","T1","612.6195","Y","Y",11,NA,0,NA,"0",0,0,0,NA,NA,NA,NA,NA,NA,NA
29,540,"V","S2","T1","322.3125","Y","N",6,"S",1,NA,"0",432.681,0,432.681,NA,NA,NA,NA,NA,NA,NA
29,541,"S","S4","T1","497.4915","N","N",8,"S",2,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
29,542,"V","S4","T1","459.49075","N","N",6,"S",1,"V","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,543,"S","C","T1","520.833","N","N",6,"S",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
29,544,"V","C","T1","322.012","N","Y",5,NA,0,NA,"0",0,0,0,NA,NA,NA,NA,NA,NA,NA
29,546,"V","S1","T3","442.212","N","N",11,"V",1,"V","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,547,"S","S2","T3","805.3185","N","N",11,"V",1,"V","1",754.732,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,548,"V","S2","T3","300.22575","Y","N",4,"V",1,NA,"0",351.7615,0,351.7615,NA,NA,NA,NA,NA,NA,NA
29,549,"S","S4","T3","760.917","Y","N",11,"V",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
29,550,"V","S4","T3","345.00025","N","N",5,"V",1,NA,"0",392.329,0,392.329,NA,NA,NA,NA,NA,NA,NA
29,551,"S","C","T3","367.095","N","N",5,"S",1,NA,"0",902.67,0,902.67,NA,NA,NA,NA,NA,NA,NA
29,552,"V","C","T3","433.798","Y","N",5,"S",2,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
30,553,"S","S1","T2","786.54","N","N",7,"S",2,"S","1",771.177,607.128,1378.305,NA,NA,NA,NA,NA,NA,NA
30,554,"V","S1","T2","732.94575","N","N",5,"V",1,"V","1",206.7702,457.237,664.0072,NA,NA,NA,NA,NA,NA,NA
30,555,"S","S2","T2","688.7865","Y","N",7,NA,0,"V","1",0,690.2748,690.2748,NA,NA,NA,NA,NA,NA,NA
30,556,"V","S2","T2","232.01225","N","N",8,NA,0,NA,"0",0,0,0,NA,NA,NA,NA,NA,NA,NA
30,557,"S","S4","T2","559.794","Y","N",6,"S",1,"V","1",242.9655,103.9475,346.913,NA,NA,NA,NA,NA,NA,NA
30,558,"V","S4","T2","400.4425","N","N",6,"S",1,"V","1",659.778,107.455,767.233,NA,NA,NA,NA,NA,NA,NA
30,559,"S","C","T2","573.132","Y","N",6,"S",1,NA,"0",805.443,0,805.443,NA,NA,NA,NA,NA,NA,NA
30,560,"V","C","T2","425.23375","N","N",5,"S",1,NA,"0",710.673,0,710.673,NA,NA,NA,NA,NA,NA,NA
30,561,"S","S1","T1","406.056","Y","N",11,"S",2,"V","2",NA,728.783,NA,NA,NA,NA,NA,NA,NA,NA
30,562,"V","S1","T1","176.8705","N","N",6,"V",1,"V","1",NA,138.2563,NA,NA,NA,NA,NA,NA,NA,NA
30,563,"S","S2","T1","555.4065","N","N",11,"V",2,"V","1",NA,442.3622,NA,NA,NA,NA,NA,NA,NA,NA
30,564,"V","S2","T1","329.825","N","N",5,"S",1,NA,"0",457.602,0,457.602,NA,NA,NA,NA,NA,NA,NA
30,565,"S","S4","T1","492.753","N","N",5,"S",1,"V","1",NA,20.7465,NA,NA,NA,NA,NA,NA,NA,NA
30,566,"V","S4","T1","531.61075","N","N",11,"S",1,NA,"0",746.124,0,746.124,NA,NA,NA,NA,NA,NA,NA
30,567,"S","C","T1","713.3565","N","N",11,"S",1,NA,"0",484.629,0,484.629,NA,NA,NA,NA,NA,NA,NA
30,568,"V","C","T1",".","N","N",11,"V",1,NA,"0",194.6,0,194.6,NA,NA,NA,NA,NA,NA,NA
30,569,"S","S1","T3","823.9215","Y","N",11,"S",1,"V","1",611.8665,648.355,1260.2215,NA,NA,NA,NA,NA,NA,NA
30,570,"V","S1","T3","468.3555","N","N",11,"S",1,"V","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,571,"S","S2","T3","909.741","Y","N",11,"S",1,"V","1",739.104,486.085,1225.189,NA,NA,NA,NA,NA,NA,NA
30,572,"V","S2","T3",".","","N",11,"S",2,NA,"0",687.91875,0,687.91875,NA,NA,NA,NA,NA,NA,NA
30,573,"S","S4","T3","975.9045","N","N",11,"S",1,NA,"0",1038.507,0,1038.507,NA,NA,NA,NA,NA,NA,NA
30,574,"V","S4","T3",".","","N",11,"V",1,NA,"0",588.856,0,588.856,NA,NA,NA,NA,NA,NA,NA
30,575,"S","C","T3","662.637","Y","N",11,"S",1,NA,"0",829.662,0,829.662,NA,NA,NA,NA,NA,NA,NA
30,576,"V","C","T3","442.212","N","N",11,"V",1,NA,"0",588.856,0,588.856,NA,NA,NA,NA,NA,NA,NA
32,577,"S","S1","T2","553.125","N","Y",6,NA,0,"S","1",0,686.454,686.454,NA,NA,NA,NA,NA,NA,NA
32,578,"V","S1","T2","425.384","N","N",5,"V",1,"V","1",127.889,285.952,413.841,NA,NA,NA,NA,NA,NA,NA
32,579,"S","S2","T2","963.6058","N","N",5,"S",3,"V","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,580,"V","S2","T2","560.008","N","N",6,"V",1,NA,"0",442.212,0,442.212,NA,NA,NA,NA,NA,NA,NA
32,581,"S","S4","T2","652.458","N","N",6,"S",1,"V","1",989.718,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,582,"V","S4","T2","459.641","Y","N",6,"V",1,NA,"0",314.9502,0,314.9502,NA,NA,NA,NA,NA,NA,NA
32,583,"S","C","T2","710.8995","N","N",5,"V",1,NA,"0",1235.232,0,1235.232,NA,NA,NA,NA,NA,NA,NA
32,584,"V","C","T2","531.761","N","N",6,NA,0,NA,"0",0,0,0,NA,NA,NA,NA,NA,NA,NA
32,585,"S","S1","T1","507.144","N","N",11,"S",2,"V","1",459.925,40.8899,500.8149,NA,NA,NA,NA,NA,NA,NA
32,586,"V","S1","T1","392.17875","N","N",6,"S",1,"V","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,587,"S","S2","T1","687.558","N","N",5,"V",1,NA,"0",359.875,0,359.875,NA,NA,NA,NA,NA,NA,NA
32,588,"V","S2","T1","408.556","N","N",11,"V",1,"V","1",307.588,194.6,502.188,NA,NA,NA,NA,NA,NA,NA
32,589,"S","S4","T1","956.775","N","N",6,"S",1,NA,"0",443.562,0,443.562,NA,NA,NA,NA,NA,NA,NA
32,590,"V","S4","T1","376.25225","N","N",5,"V",2,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
32,591,"S","C","T1","288.471","N","N",6,"V",1,NA,"0",206.7702,0,206.7702,NA,NA,NA,NA,NA,NA,NA
32,592,"V","C","T1","442.36225","N","N",6,"V",1,NA,"0",648.355,0,648.355,NA,NA,NA,NA,NA,NA,NA
32,593,"S","S1","T3","605.9505","N","N",11,NA,0,"V","1",0,352.663,352.663,NA,NA,NA,NA,NA,NA,NA
32,594,"V","S1","T3","669.54025","N","N",11,"S",2,"V","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,595,"S","S2","T3","541.893","N","N",5,"V",1,NA,"0",689.824,0,689.824,NA,NA,NA,NA,NA,NA,NA
32,596,"V","S2","T3","494.94975","N","N",11,"S",1,"V","1",376.872,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,597,"S","S4","T3","706.161","N","N",7,"S",2,"V","1",473.0425,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,598,"V","S4","T3","733.096","N","N",6,"V",1,NA,"0",560.008,0,560.008,NA,NA,NA,NA,NA,NA,NA
32,599,"S","C","T3","473.9745","Y","N",11,"S",1,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
32,600,"V","C","T3","486.085","N","N",7,"S",1,NA,"0",746.826,0,746.826,NA,NA,NA,NA,NA,NA,NA
33,601,"S","S1","T2","554.529","N","N",5,"S",2,"S","1",282.702,404.25,686.952,NA,NA,NA,NA,NA,NA,NA
33,602,"S","S2","T2","406.5825","N","N",5,"S",1,"S","1",330.189,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,603,"V","S2","T2","560.008","N","N",7,"S",1,"V","1",990.42,329.825,1320.245,NA,NA,NA,NA,NA,NA,NA
33,604,"S","S4","T2","398.685","N","N",5,"S",1,NA,"0",694.3515,0,694.3515,NA,NA,NA,NA,NA,NA,NA
33,605,"V","S4","T2","522.145","N","N",6,"V",1,NA,"0",219.241,0,219.241,NA,NA,NA,NA,NA,NA,NA
